Area,ED,Energy,SS,ResidueLength,PairNumber
12843.1,60525.0,67971.9,28,247,2754
5397.9,4538.34,-1741.12,13,88,292
13800.6,140599.0,1759.71,280,308,6057
12733.0,79056.2,57974.9,50,272,3539
7111.8,28264.0,-2174.3,13,131,1686
12285.7,73178.0,-4880.0,159,244,3213
17237.2,263354.0,-8617.0,41,412,8732
4700.62,1570.65,-1357.27,11,67,134
3600.06,576.908,-69.939,14,43,52
23114.5,279654.0,-1404.54,314,468,9276
3741.38,453.476,-640.34,2,36,35
5757.19,4981.28,16045000.0,11,79,342
13214.8,38484.0,-5019.0,42,232,1474
10131.7,35216.0,58585.1,194,208,1691
6711.5,6717.95,3466410.0,85,118,426
8014.85,8766.32,1615.6,36,144,553
3843.77,555.981,-426.03,5,43,52
3835.74,552.57,-1102.5,5,43,52
5818.73,10356.0,-2116.0,9,96,648
9915.14,17166.7,-2582.3,153,172,973
4805.43,2025.33,-837.81,3,75,165
5879.16,4330.2,-1705.4,17,90,317
5210.04,4687.09,-1560.07,13,85,343
3364.37,675.472,72.333,6,31,53
17879.4,159581.0,-7847.0,96,389,5536
4504.14,2119.93,-1649.2,12,71,188
20245.4,274253.0,6769.45,43,420,9137
6486.89,4234.12,-867.725,140,101,270
5313.91,3728.09,-964.12,7,89,249
4507.52,1982.74,-146.6,9,75,165
11671.3,78130.2,-442.375,170,252,3882
6839.73,12088.5,-201.475,9,105,765
5437.82,2472.29,98.091,4,81,169
9866.45,25190.3,10397.1,122,166,1111
15436.3,105045.0,-6346.0,46,332,3805
5135.35,3129.39,-2524.1,4,65,202
7890.41,12910.8,-2527.34,80,132,806
12953.7,79776.0,35394.3,56,272,3539
14708.7,143928.0,309.064,303,308,6057
3810.99,511.776,-864.87,3,36,35
3797.65,639.749,-432.38,24,50,42
21640.6,346890.0,-263.31,265,440,10967
8086.12,9363.47,-962.614,87,138,554
6640.5,7418.72,515.6,38,109,432
6935.84,13560.0,-3811.0,19,118,762
6003.25,4084.39,-476.47,12,100,294
3366.2,662.656,266.83,6,31,53
9866.44,16951.7,-2745.52,156,172,973
15518.6,79924.4,4314630.0,257,336,3302
5502.45,2556.61,968.74,7,81,169
4042.89,2120.26,-2026.3,4,63,184
4269.34,1938.59,447.972,197,63,166
7305.2,7255.36,10461400.0,68,109,486
15716.9,265131.0,-349.136,97,346,7851
11721.8,33295.1,3043.8,62,210,1213
3782.72,455.07,-914.22,3,36,35
4832.54,2065.16,-709.94,7,75,165
7554.86,12523.8,-716.651,136,123,726
3976.66,1588.92,-1225.6,11,61,134
14380.8,93957.0,679.904,235,294,4249
